Channel,Volume
0,0.050000
1,0.050000
2,0.050000
3,0.050000
4,0.050000
5,0.050000
6,0.050000
7,0.050000
8,0.050000
9,0.050000
10,0.050000
11,1.000000
12,0.050000
13,0.050000
14,0.050000
15,0.050000
16,0.050000
17,0.050000
18,0.100000
19,0.050000
20,1.000000
21,0.050000
22,-1.000000
23,-1.000000
24,0.050000
25,0.050000
26,0.050000
27,1.000000
28,0.300000
29,0.300000
30,0.300000
31,0.300000
32,0.300000
33,0.050000
34,1.000000
35,1.000000
36,0.050000
37,1.000000
38,1.000000
39,1.000000
40,1.000000
41,1.000000
42,-1.000000
43,-1.000000
44,-1.000000
45,-1.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,0.000000
57,0.000000
58,0.000000
59,0.000000
60,0.000000
61,0.000000
62,0.000000
63,0.000000
