Channel,Volume
0,0.500000
1,0.500000
2,0.500000
3,0.500000
4,0.500000
5,0.500000
6,0.500000
7,0.500000
8,0.500000
9,0.100000
10,0.100000
11,1.000000
12,0.200000
13,0.200000
14,0.200000
15,0.200000
16,0.500000
17,0.500000
18,0.500000
19,0.500000
20,0.500000
21,0.200000
22,-1.000000
23,-1.000000
24,0.200000
25,0.200000
26,0.200000
27,0.200000
28,0.400000
29,0.400000
30,0.400000
31,0.500000
32,0.500000
33,0.900000
34,0.900000
35,1.000000
36,0.200000
37,1.000000
38,1.000000
39,1.000000
40,1.000000
41,1.000000
42,-1.000000
43,-1.000000
44,-1.000000
45,-1.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,0.000000
57,0.000000
58,0.000000
59,0.000000
60,0.000000
61,0.000000
62,0.000000
63,0.000000
