Channel,Volume
0,0.600000
1,0.000000
2,0.000000
3,0.400000
4,0.400000
5,0.800000
6,0.450000
7,0.000000
8,1.000000
9,1.000000
10,0.000000
11,1.000000
12,0.300000
13,1.000000
14,1.000000
15,1.000000
16,0.800000
17,0.800000
18,1.000000
19,1.000000
20,0.000000
21,1.000000
22,-1.000000
23,-1.000000
24,1.000000
25,1.000000
26,1.000000
27,1.000000
28,1.000000
29,1.000000
30,1.000000
31,1.000000
32,1.000000
33,1.000000
34,1.000000
35,1.000000
36,0.000000
37,1.000000
38,1.000000
39,1.000000
40,1.000000
41,1.000000
42,-1.000000
43,-1.000000
44,-1.000000
45,-1.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,0.000000
57,0.000000
58,0.000000
59,0.000000
60,0.000000
61,0.000000
62,0.000000
63,0.000000
