Channel,Volume
0,0.300000
1,0.300000
2,0.300000
3,0.300000
4,0.300000
5,0.300000
6,0.300000
7,0.300000
8,0.300000
9,0.300000
10,0.300000
11,1.000000
12,0.300000
13,0.300000
14,0.300000
15,0.300000
16,0.300000
17,0.300000
18,0.300000
19,0.300000
20,0.500000
21,0.300000
22,-1.000000
23,-1.000000
24,0.300000
25,0.300000
26,0.300000
27,0.300000
28,1.000000
29,1.000000
30,1.000000
31,1.000000
32,1.000000
33,0.300000
34,1.000000
35,1.000000
36,0.300000
37,1.000000
38,1.000000
39,1.000000
40,1.000000
41,1.000000
42,-1.000000
43,-1.000000
44,-1.000000
45,-1.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,0.000000
57,0.000000
58,0.000000
59,0.000000
60,0.000000
61,0.000000
62,0.000000
63,0.000000
